"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJBALL030323_D1",115.95684385675,26.1556790654324,59.4730321606856,2555.2645353646,112.251455989147,39.2335185981485,10.1716529698904,702.425292235001,810.144913552743,437.835169355728
"SJBALL030327_D1",176.547778571971,126.876843927869,232.543273217341,3719.3211931574,52.302954278776,293.860653717436,137.224955312057,2424.15757121759,69.0905154101896,54.6650231816884
"SJBALL030325_D1",161.758846967803,112.098157734767,116.747390083213,5272.22948313837,110.516127282865,80.8449847257648,17.1763306206498,487.446182666017,193.064216219605,120.234314344548
"SJDSRCT030041_D4",34.4077265639376,61.1995136512725,60.3252348848257,234.824800528586,16.8298662540999,586.349626030286,111.859111062603,722.834255681141,925.515144988722,45847.6156518507
"SJBALL030331_D1",41.7609082115311,33.8601958471873,29.5811601082571,3618.6999048994,94.5806432077685,228.277254420324,35.5966161470431,1240.41184120196,243.777131159438,18.2324131484855
"SJEPD030060_D1",47.0611529028197,26.4464692105183,18.3090940688204,11.9800245141664,16.2747502833959,1430.43430169419,8.47643243926868,705.781670623268,840.819715813257,4898.95412827534
"SJEPD030097_D1",32.3167897728166,21.3861108790698,11.2022485557032,39.6039090353145,7.57424760300389,463.365735713179,28.5148145054264,542.019099057314,560.160164639803,2791.77855767191
"SJBALL030334_D1",68.7154832961306,70.2771988255881,55.5524524049887,5182.81327042633,26.9395928831421,121.479157969945,30.8438817067859,317.809110244604,117.421486371087,25.4754845742757
"SJEPD030168_D1",103.099995061146,42.3698609840327,10.5924652460082,25.7455752507144,25.8191340371449,385.300923323548,21.1849304920163,530.68250882501,692.234154553582,3050.13346904195
"SJBALL030344_D1",55.6982703509863,79.74640848647,58.7717189379592,4169.50328898626,182.783240012213,211.450423570266,29.935957079812,906.326627540001,350.450995471938,69.4054606570328
"SJEPD030146_D1",47.5108488722093,29.8250923536997,23.0976279130156,83.3707259945523,3.92435425706575,685.304377691024,21.7147602224304,706.06981793127,557.30735893155,4129.20554928458
"SJBALL030337_D1",683.134021088194,670.610140079116,410.666795879067,4049.63090380747,50.2411505596731,79.2624362866894,27.3049731302571,640.902329313396,207.176483625826,51.0602997535809
"SJBALL030346_D1",63.8808934404602,16.4715308198496,11.5607638673478,6714.09833809879,305.170916113409,60.3615104578338,13.4875578452392,330.719692722023,24.9758537974893,173.756746311565
